Date,Open,High,Low,Close,Volume,,,,,,,,,,,,,
2015-07-01,2077.27,2100.34,2072.54,2097.89,471565000,33.66666667,19.33333333,0.036791667,0.016041667,0.5125,0.002958333,23.7,0.5,3.8,995.4,66,4.4,0.00992649
2015-07-08,2045.88,2046.33,2010.83,2016.21,453118000,11.29166667,6,0.028083333,0.017833333,0.466666667,0.002333333,23.4,0.5,4,1011.4,70,9.4,-0.014502317
2015-07-13,2033.25,2063.28,2030.21,2061.52,426286000,25.875,15.70833333,0.021,0.018083333,0.545833333,0.001583333,23.1,10,5.2,992.9,91,9.5,0.013903849
2015-07-21,2082.18,2088.24,2069.21,2083.62,727407000,23.75,13.70833333,0.015083333,0.022875,0.475,0.002041667,27,11,1.6,1006.4,82,9.5,0.000691583
2015-07-22,2071.06,2075.94,2059.45,2064.73,1160824000,29.45833333,17.91666667,0.015333333,0.038791667,0.545833333,0.002583333,27.7,1,1.8,1005.6,77,8.5,-0.003056406
2015-07-23,2068.93,2069.2,2053.52,2065.07,739793000,28.08333333,18,0.011333333,0.038541667,0.566666667,0.003333333,26.9,16,2.1,1006.3,81,9.5,-0.001865699
2015-07-24,2060.66,2060.66,2040.3,2045.96,611868000,13.20833333,7.666666667,0.007333333,0.029,0.579166667,0.001958333,24.7,26.5,2,1004.5,97,10,-0.007133637
2015-07-27,2034.82,2048.15,2032.44,2038.81,543243000,24.875,13.95833333,0.006166667,0.015166667,0.408333333,0.002,26.2,1.5,2.3,1007.9,86,8.4,0.001960861
2015-07-29,2053.62,2055.95,2037.62,2037.62,520572000,31.75,21.33333333,0.018416667,0.013,0.566666667,0.002666667,26.7,4,2.6,1006,83,8.4,-0.00779112
2015-08-05,2027.22,2035.25,2022.98,2029.76,319211000,33.16666667,21.58333333,0.030875,0.015583333,0.416666667,0.002833333,28.6,0.1,3.7,1007.7,67,6.6,0.001252947
2015-08-07,2009.39,2012.9,2001.13,2010.23,334578000,36.16666667,23.45833333,0.031666667,0.02375,0.479166667,0.0015,28.9,11,1.4,1014.4,71,2.8,0.000418037
2015-08-20,1929.43,1933.79,1912.55,1914.55,397527000,36.16666667,22.41666667,0.020375,0.031625,0.491666667,0.006541667,25.4,0.4,1.7,1009,76,9.6,-0.007712122
2015-08-21,1862.79,1886.49,1856.91,1876.07,512313000,29.45833333,18.70833333,0.02175,0.020125,0.383333333,0.005625,25.2,2.5,2,1004.3,78,7.1,0.007129091
2015-08-25,1840.94,1864.3,1806.79,1846.63,451586000,6.208333333,3.291666667,0.016791667,0.016708333,0.233333333,0.004625,21.7,5.5,3.2,1002.5,76,9.9,0.003090812
2015-08-28,1932.39,1938.61,1927.39,1937.67,446751000,25.875,14.08333333,0.017666667,0.036666667,0.429166667,0.006041667,23.2,0.3,1.7,1008.1,69,5,0.002732368
2015-09-02,1886.14,1920.62,1883.5,1915.22,342022000,22.45833333,15.375,0.020208333,0.0285,0.370833333,0.005083333,23.9,0.5,2.1,1011.5,73,8.5,0.015417731
2015-09-03,1929.78,1931.19,1911.17,1915.53,297283000,22.70833333,13.79166667,0.028166667,0.025625,0.391666667,0.005,23.9,18,2.3,1010.8,75,4.1,-0.007384261
2015-09-11,1942.88,1951.26,1939.73,1941.37,503010000,39.625,22.08333333,0.024875,0.030125,0.458333333,0.0045,21,2.5,2.1,1010.1,76,9.3,-0.000777197
2015-10-01,1963.55,1986.01,1958.63,1979.32,678977000,16.16666667,8.25,0.010916667,0.039,0.466666667,0.004166667,16.3,35,3.6,1003,78,8.3,0.008031372
2015-10-26,2049.41,2049.6,2039.97,2048.08,459949000,32.41666667,15.875,0.007125,0.053958333,0.754166667,0.005291667,15,2,2.4,1018.8,67,8.5,-0.000648967
2015-10-27,2043.52,2045.81,2036.22,2044.65,449155000,34.5,14.41666667,0.020875,0.032541667,0.7,0.005166667,12.1,26.5,3.2,1011.7,69,4.6,0.000552967
2015-10-29,2050.97,2064.72,2032.56,2034.16,481349000,23.66666667,10.33333333,0.017208333,0.033041667,0.55,0.005416667,8.4,0.5,2.4,1022.7,50,2,-0.008196122
2015-11-06,2048.17,2055.14,2038.46,2041.07,465030000,55.41666667,33.875,0.01325,0.0425,1.004166667,0.005916667,13.5,4.5,4.7,1025.7,64,7.1,-0.003466509
2015-11-09,2038.59,2038.59,2022.52,2025.7,435389000,6.208333333,3.75,0.014,0.023333333,0.65,0.004666667,10.8,3.5,2.1,1018,88,9.8,-0.006322998
2015-11-13,1975.97,1981.27,1969.71,1973.29,342313000,18.375,10.04166667,0.006958333,0.044416667,0.529166667,0.004,11.5,22.5,4,1021.4,84,9.8,-0.001356296
2015-11-16,1945.68,1956.09,1942.85,1943.02,433426000,24.33333333,13.54166667,0.005,0.041,0.6125,0.004666667,12.2,5.5,2.8,1017,85,9.3,-0.001367131
2015-11-18,1967.25,1973.16,1961.43,1962.88,541860000,14.58333333,8.291666667,0.010625,0.04,0.583333333,0.004083333,10.4,5.5,5.1,1020.8,71,8.9,-0.002221375
2015-11-23,1995.92,2008.34,1992.86,2003.7,383231000,8.083333333,4.25,0.012125,0.030125,0.491666667,0.004,8.5,6.5,3.3,1025.5,81,9.5,0.003897952
2015-11-24,2004.29,2019.95,2003.06,2016.29,417004000,23.91666667,14.54166667,0.01175,0.026416667,0.55,0.004458333,5.6,0.5,3.1,1025.7,70,8.3,0.005987158
2015-11-25,2018.24,2018.93,2007.91,2009.42,391646000,8.666666667,5.666666667,0.011958333,0.028291667,0.4375,0.004,2.4,11,2.7,1019.1,87,9.4,-0.004370144
2015-12-02,2026.08,2026.19,2009.29,2009.29,631315000,51.16666667,27.75,0.002916667,0.057208333,1.204166667,0.006208333,6,13.5,3.2,1015.3,71,7.8,-0.008286938
2015-12-03,2000.2,2000.2,1981.59,1994.07,365870000,29.29166667,14.08333333,0.014166667,0.025666667,0.645833333,0.005083333,-0.7,7.1,4.1,1013.7,79,8.3,-0.003064694
2015-12-10,1947.21,1956.84,1940.4,1952.07,377848000,45.95833333,23.08333333,0.002291667,0.066333333,1.083333333,0.00675,7.8,0.3,2.3,1018.9,75,8.8,0.002495879
2015-12-14,1926.36,1930.4,1919.22,1927.82,439741000,35.875,20.16666667,0.005166667,0.054875,0.7625,0.00525,5,2.5,2.2,1020.8,76,9.8,0.000757906
2015-12-15,1935.82,1938.04,1925.75,1932.97,434738000,47.5,28.33333333,0.007125,0.047041667,0.791666667,0.005916667,4.7,0.1,2.8,1018.6,70,8,-0.001472244
2015-12-21,1974.26,1986.66,1968.14,1981.19,539596000,45.95833333,25.04166667,0.003166667,0.061583333,0.8125,0.006,2.2,2,2.5,1026.8,76,5.8,0.003510176
2015-12-23,1994.2,2007.42,1989.3,1999.22,502366000,52.79166667,30.70833333,0.004041667,0.066875,0.945833333,0.006833333,5.9,0.4,2.1,1022.2,60,4.5,0.0025173
2015-12-30,1973.03,1974.67,1958.78,1961.31,304462000,59.29166667,29.625,0.003083333,0.073041667,0.875,0.007625,0.3,2.5,2.5,1029,68,6.9,-0.005940102
2016-01-13,1904.33,1921,1902.49,1916.28,265221000,32.95833333,12.5,0.016041667,0.031166667,0.383333333,0.006541667,-4.5,0.4,2,1020.5,63,5.5,0.006275173
2016-01-18,1856.03,1882.21,1854.55,1878.45,276937000,73.625,41.75,0.012375,0.04125,0.816666667,0.006791667,-6.3,0.2,4.8,1014.9,60,6,0.012079546
2016-01-26,1881.87,1884.13,1862.98,1871.69,298824000,72.66666667,27.08333333,0.005958333,0.055375,0.995833333,0.007625,-3.3,0.3,2.3,1027.3,65,6.1,-0.005409513
2016-02-11,1872.68,1877.77,1858.9,1861.54,386428000,37.125,18.70833333,0.005541667,0.061166667,1.120833333,0.007333333,8.1,0.1,3.5,1024.3,29,6,-0.005948694
2016-02-12,1850.67,1857.12,1817.97,1835.28,470499000,48.58333333,33.95833333,0.006041667,0.06225,0.966666667,0.006916667,8.4,18,3.2,1017.4,95,10,-0.008315907
2016-02-16,1870.1,1892.15,1868.11,1888.3,388318000,32.45833333,13.41666667,0.019416667,0.030875,0.8,0.005958333,-2.7,0.8,2.7,1018.7,66,3.8,0.0097321
